event_id,asset_id,event_type,severity,event_timestamp,source_ip,status,detection_source
1,130,Data Exfiltration,Medium,2024-06-17 13:47:19,216.14.162.233,False Positive,SIEM
2,183,Policy Violation,High,2024-12-05 19:52:45,108.45.97.172,Open,Firewall
3,6,Phishing,High,2024-05-13 14:48:10,200.95.166.187,Investigating,Manual
4,165,Phishing,Medium,2024-03-09 02:24:06,153.148.115.139,Escalated,IDS
5,75,Phishing,Critical,2024-03-14 11:44:05,18.240.87.124,Investigating,IDS
6,184,Port Scan,Medium,2025-01-09 15:31:35,157.101.28.154,Resolved,SIEM
7,169,DDoS,Critical,2025-01-07 12:32:08,31.202.104.12,Resolved,SIEM
8,13,Policy Violation,Medium,2023-10-03 17:14:52,160.247.135.71,Resolved,EDR
9,184,Privilege Escalation,Medium,2023-04-19 18:58:37,170.142.49.106,Resolved,IDS
10,89,DDoS,Medium,2025-02-07 05:36:56,13.211.196.252,Investigating,SIEM
11,170,Brute Force,High,2024-08-07 03:51:46,225.237.195.143,Investigating,WAF
12,161,Intrusion Attempt,High,2024-09-21 19:20:36,179.184.73.49,False Positive,Manual
13,141,Anomalous Traffic,Medium,2023-09-26 23:37:09,138.58.235.231,Resolved,SIEM
14,39,Malware Detected,High,2023-08-15 17:22:04,171.0.217.175,Resolved,IDS
15,73,Phishing,High,2024-07-12 00:41:38,194.38.26.32,Investigating,IDS
16,195,Brute Force,Low,2023-07-27 18:05:51,41.85.5.54,Resolved,IDS
17,169,Phishing,Critical,2024-07-12 20:53:01,216.81.166.249,False Positive,IDS
18,48,Privilege Escalation,Medium,2024-11-02 19:45:22,64.9.150.16,Resolved,IDS
19,184,Policy Violation,Medium,2025-02-01 08:22:19,133.230.206.231,Resolved,SIEM
20,67,Policy Violation,High,2023-02-28 08:54:00,156.219.116.49,Investigating,Firewall
21,152,DDoS,Critical,2024-05-20 15:37:48,103.233.150.161,Escalated,Manual
22,50,Anomalous Traffic,Medium,2023-01-07 09:58:43,220.66.181.131,Open,Manual
23,90,Phishing,High,2024-06-23 19:43:30,143.95.21.71,Escalated,EDR
24,10,Malware Detected,Low,2024-02-17 21:08:04,116.12.190.43,Open,Firewall
25,50,Phishing,Medium,2023-05-22 21:46:23,225.62.7.224,Investigating,SIEM
26,127,Data Exfiltration,Medium,2025-03-11 09:56:12,101.14.93.70,Open,Firewall
27,104,Policy Violation,Medium,2024-05-31 09:13:08,45.234.252.36,Escalated,IDS
28,85,Failed Login,Critical,2024-04-26 23:21:57,129.186.86.253,Investigating,SIEM
29,147,Privilege Escalation,Medium,2024-02-09 00:31:40,152.9.213.101,Escalated,SIEM
30,138,Privilege Escalation,Low,2024-06-19 00:48:14,80.117.13.86,Resolved,EDR
31,49,Data Exfiltration,Critical,2024-08-18 16:22:13,117.186.130.218,False Positive,WAF
32,144,Anomalous Traffic,Medium,2023-07-24 01:48:45,214.103.39.136,Open,IDS
33,79,Failed Login,Low,2023-06-07 23:13:21,199.223.48.212,Open,SIEM
