item_id,order_id,product_id,quantity,unit_price,discount,line_total
1,1,12,1,156.91,0.0,156.91
2,2,26,3,76.23,0.0,228.69
3,2,17,2,80.89,0.0,161.78
4,2,44,1,78.65,0.0,78.65
5,3,47,2,55.06,0.0,110.12
6,3,10,2,231.18,0.0,462.36
7,3,48,1,165.41,24.81,140.6
8,3,51,2,53.0,21.2,84.8
9,3,13,3,213.52,32.03,608.53
10,4,46,3,31.65,14.24,80.71
11,4,29,2,75.1,0.0,150.2
12,4,23,1,28.51,4.28,24.23
13,4,49,1,86.84,13.03,73.81
14,4,40,3,292.03,43.8,832.29
15,5,73,2,61.06,0.0,122.12
16,5,14,2,90.46,27.14,153.78
17,6,43,2,31.69,0.0,63.38
18,7,14,2,90.46,9.05,171.87
19,7,1,3,259.38,38.91,739.23
20,7,7,1,121.9,6.1,115.8
21,8,74,1,275.04,55.01,220.03
22,8,29,1,75.1,0.0,75.1
23,8,21,1,46.8,0.0,46.8
24,8,58,2,271.71,0.0,543.42
25,9,71,1,87.28,0.0,87.28
26,10,22,1,233.7,0.0,233.7
27,10,56,1,117.94,0.0,117.94
28,10,21,2,46.8,14.04,79.56
29,10,7,3,121.9,54.85,310.85
30,11,7,2,121.9,24.38,219.42
31,12,12,1,156.91,0.0,156.91
32,12,38,1,285.78,0.0,285.78
33,12,62,3,266.18,0.0,798.54
34,12,26,1,76.23,3.81,72.42
35,13,12,1,156.91,0.0,156.91
36,13,70,2,299.88,0.0,599.76
37,13,50,1,249.64,12.48,237.16
38,14,73,3,61.06,27.48,155.7
39,14,8,1,267.72,0.0,267.72
40,14,20,3,161.66,0.0,484.98
41,15,8,3,267.72,160.63,642.53
42,15,50,2,249.64,49.93,449.35
43,15,67,1,274.67,13.73,260.94
44,15,54,2,37.46,0.0,74.92
45,15,69,2,26.98,10.79,43.17
46,16,19,1,13.66,2.73,10.93
47,16,16,1,99.94,0.0,99.94
48,16,58,1,271.71,13.59,258.12
49,16,23,1,28.51,4.28,24.23
50,16,22,2,233.7,0.0,467.4
51,17,12,2,156.91,31.38,282.44
52,18,2,2,180.97,0.0,361.94
53,18,67,1,274.67,27.47,247.2
54,18,54,3,37.46,11.24,101.14
55,18,15,1,165.54,0.0,165.54
56,19,53,3,286.1,42.91,815.39
57,19,34,3,237.5,71.25,641.25
58,19,50,2,249.64,0.0,499.28
59,20,5,1,69.57,10.44,59.13
60,20,51,2,53.0,0.0,106.0
61,20,43,2,31.69,0.0,63.38
62,20,31,2,62.0,24.8,99.2
63,21,30,1,249.53,0.0,249.53
64,22,25,2,116.62,0.0,233.24
65,23,66,1,236.75,0.0,236.75
66,24,73,1,61.06,0.0,61.06
67,24,4,1,219.13,10.96,208.17
68,24,23,1,28.51,0.0,28.51
69,24,25,3,116.62,0.0,349.86
70,24,26,2,76.23,0.0,152.46
71,25,31,2,62.0,6.2,117.8
72,26,71,2,87.28,0.0,174.56
73,26,45,2,213.2,0.0,426.4
74,26,21,1,46.8,9.36,37.44
75,26,34,3,237.5,142.5,570.0
76,26,12,1,156.91,31.38,125.53
77,27,66,1,236.75,35.51,201.24
78,27,3,1,81.85,8.19,73.66
79,27,2,1,180.97,0.0,180.97
80,27,61,2,60.1,12.02,108.18
81,28,49,1,86.84,4.34,82.5
82,28,45,2,213.2,63.96,362.44
83,28,59,3,45.52,27.31,109.25
84,28,33,3,35.04,5.26,99.86
85,29,72,3,176.94,0.0,530.82
86,29,37,2,77.56,0.0,155.12
87,29,39,2,40.14,0.0,80.28
88,30,25,1,116.62,0.0,116.62
89,30,20,3,161.66,24.25,460.73
90,30,67,3,274.67,0.0,824.01
91,31,54,3,37.46,0.0,112.38
92,31,52,3,24.19,10.89,61.68
93,31,50,3,249.64,149.78,599.14
94,32,61,3,60.1,18.03,162.27
95,32,46,1,31.65,0.0,31.65
96,32,65,1,82.24,4.11,78.13
97,32,39,1,40.14,6.02,34.12
98,32,22,2,233.7,70.11,397.29
99,33,29,2,75.1,0.0,150.2
100,34,75,1,173.44,8.67,164.77
101,34,38,1,285.78,57.16,228.62
102,34,60,3,135.61,40.68,366.15
103,35,16,1,99.94,19.99,79.95
104,35,49,1,86.84,0.0,86.84
105,35,68,1,102.46,0.0,102.46
106,35,39,2,40.14,8.03,72.25
107,35,53,2,286.1,0.0,572.2
108,36,23,1,28.51,1.43,27.08
109,36,41,2,270.2,0.0,540.4
110,36,8,1,267.72,26.77,240.95
111,37,56,2,117.94,11.79,224.09
112,37,55,2,27.87,2.79,52.95
113,38,42,3,292.61,0.0,877.83
114,39,45,1,213.2,0.0,213.2
115,39,40,2,292.03,58.41,525.65
116,40,38,3,285.78,85.73,771.61
117,40,59,2,45.52,4.55,86.49
118,40,67,3,274.67,0.0,824.01
119,41,3,1,81.85,12.28,69.57
120,41,30,1,249.53,24.95,224.58
121,41,29,3,75.1,0.0,225.3
122,41,17,1,80.89,0.0,80.89
123,42,7,2,121.9,12.19,231.61
124,42,14,1,90.46,9.05,81.41
125,42,3,2,81.85,8.19,155.51
126,42,15,3,165.54,0.0,496.62
127,42,54,1,37.46,5.62,31.84
128,43,35,3,291.83,87.55,787.94
129,43,18,1,25.95,0.0,25.95
130,43,54,1,37.46,7.49,29.97
131,43,14,1,90.46,4.52,85.94
132,43,66,1,236.75,23.68,213.07
133,44,53,1,286.1,28.61,257.49
134,44,38,2,285.78,0.0,571.56
135,44,21,3,46.8,7.02,133.38
136,45,74,3,275.04,41.26,783.86
137,46,33,3,35.04,0.0,105.12
138,47,6,2,197.38,78.95,315.81
139,47,38,3,285.78,0.0,857.34
140,48,2,1,180.97,27.15,153.82
141,49,12,1,156.91,0.0,156.91
142,49,48,2,165.41,16.54,314.28
143,49,44,2,78.65,0.0,157.3
144,50,15,3,165.54,74.49,422.13
145,50,17,1,80.89,16.18,64.71
146,51,57,3,85.05,51.03,204.12
147,51,24,3,142.0,0.0,426.0
148,51,49,2,86.84,8.68,165.0
149,51,46,1,31.65,1.58,30.07
150,51,4,2,219.13,0.0,438.26
151,52,74,3,275.04,123.77,701.35
152,52,73,3,61.06,18.32,164.86
153,52,29,1,75.1,3.75,71.35
154,52,44,3,78.65,35.39,200.56
155,52,67,1,274.67,13.73,260.94
156,53,7,2,121.9,48.76,195.04
157,53,2,1,180.97,0.0,180.97
158,53,21,2,46.8,0.0,93.6
159,53,65,1,82.24,0.0,82.24
160,53,61,2,60.1,0.0,120.2
161,54,11,2,29.57,11.83,47.31
162,54,59,3,45.52,6.83,129.73
163,55,14,2,90.46,9.05,171.87
164,56,39,2,40.14,0.0,80.28
165,56,66,1,236.75,47.35,189.4
166,56,72,1,176.94,35.39,141.55
167,56,27,2,80.91,0.0,161.82
168,56,59,3,45.52,27.31,109.25
169,57,15,2,165.54,0.0,331.08
170,57,13,3,213.52,128.11,512.45
171,57,29,2,75.1,15.02,135.18
172,57,1,3,259.38,0.0,778.14
173,58,14,1,90.46,18.09,72.37
174,58,33,2,35.04,0.0,70.08
