activity_id,deal_id,rep_id,activity_type,activity_date,duration_minutes,outcome
1,855,59,Email,2023-07-10 06:42:29,69,Positive
2,573,33,Proposal Sent,2024-03-01 12:37:43,106,Positive
3,1383,62,Meeting,2025-03-01 09:52:06,24,Neutral
4,780,60,Meeting,2025-02-07 19:01:03,19,Positive
5,408,23,Proposal Sent,2024-02-28 00:27:32,35,Positive
6,820,1,Call,2024-05-24 07:43:45,26,Negative
7,1194,88,Proposal Sent,2023-08-10 03:28:26,31,Negative
8,1198,84,Follow-up,2024-07-15 21:54:05,21,Negative
9,1220,67,Call,2023-04-20 01:23:20,53,Neutral
10,1003,59,Follow-up,2023-08-02 06:14:00,64,Positive
11,1171,54,Meeting,2023-06-05 03:10:41,41,Positive
12,381,25,Follow-up,2024-09-10 07:32:51,74,Positive
13,1291,89,Follow-up,2023-11-11 14:06:22,38,Positive
14,564,52,Meeting,2023-05-02 03:30:31,8,Positive
15,1282,26,Call,2024-06-03 23:21:24,37,Neutral
16,1140,74,Email,2024-01-07 02:32:13,109,Positive
17,43,53,Email,2023-01-09 03:02:23,43,Neutral
18,1007,93,Proposal Sent,2023-03-03 19:19:13,109,Neutral
19,180,39,Call,2024-09-23 01:58:29,68,Negative
20,1267,14,Call,2024-01-11 18:14:58,84,Negative
21,697,46,Proposal Sent,2024-01-22 08:49:25,99,Neutral
22,1472,61,Demo,2025-02-19 01:41:55,87,Positive
23,298,53,Call,2023-10-25 03:50:32,63,Positive
24,869,93,Call,2024-01-02 22:34:15,60,Positive
25,1358,8,Call,2025-03-13 05:42:53,44,Neutral
26,1280,41,Proposal Sent,2023-02-03 22:26:50,46,Positive
27,1263,65,Email,2023-08-27 13:10:30,84,Neutral
28,589,85,Follow-up,2024-07-23 04:20:19,67,Positive
29,1306,13,Proposal Sent,2023-11-02 11:34:39,94,Neutral
30,852,36,Proposal Sent,2023-09-19 14:53:35,87,Positive
31,1268,78,Email,2023-09-16 00:27:36,97,Neutral
32,659,1,Email,2024-08-07 03:09:18,53,Positive
33,1093,48,Demo,2023-10-01 20:06:56,28,Positive
34,246,29,Demo,2024-03-07 19:11:08,12,Negative
35,1027,21,Email,2023-03-02 16:28:16,104,Negative
36,1004,55,Meeting,2024-01-19 04:49:34,34,Negative
37,234,59,Follow-up,2024-02-12 06:45:40,42,Neutral
38,888,28,Meeting,2024-10-25 12:55:15,10,Neutral
39,1195,18,Call,2024-05-18 05:59:51,22,Negative
40,1450,48,Email,2024-07-11 00:21:39,105,Positive
41,1029,44,Proposal Sent,2025-01-27 00:52:25,88,Positive
42,809,26,Email,2023-02-19 15:05:41,82,Positive
43,1135,40,Call,2025-03-04 04:07:40,84,Neutral
44,1004,55,Meeting,2024-08-27 19:40:46,115,Neutral
45,70,29,Email,2023-10-17 17:20:40,90,Neutral
46,110,28,Email,2024-04-21 01:39:27,109,Neutral
47,1213,76,Demo,2024-02-12 05:47:11,29,Neutral
48,1338,53,Meeting,2024-08-28 21:17:18,7,Neutral
49,1393,6,Follow-up,2024-01-01 18:17:41,52,Neutral
50,370,99,Meeting,2023-06-05 14:38:46,94,Positive
51,90,41,Follow-up,2023-07-15 22:45:11,88,Positive
52,435,80,Email,2023-07-08 17:43:55,29,Neutral
53,813,53,Call,2025-02-16 11:10:52,68,Positive
54,1167,77,Follow-up,2024-05-20 11:34:10,9,Positive
55,1255,53,Demo,2025-03-26 09:13:41,57,Neutral
56,490,71,Meeting,2023-03-19 10:10:39,73,Negative
57,1259,47,Proposal Sent,2023-02-01 00:53:30,73,Positive
58,1346,88,Call,2023-02-05 12:57:50,51,Positive
59,90,41,Call,2024-05-07 22:04:20,16,Negative
60,202,80,Call,2024-09-02 04:59:08,107,Positive
61,26,62,Call,2025-03-20 21:56:17,20,Negative
62,994,78,Demo,2024-10-14 06:25:56,11,Neutral
63,1197,50,Call,2023-07-03 01:58:47,32,Positive
