stat_id,game_id,player_id,minutes_played,points,rebounds,assists,steals,blocks,turnovers
1,1,137,33,35,14,7,2,2,2
2,1,303,25,34,8,7,2,0,1
3,1,184,23,2,3,9,1,4,5
4,1,260,21,28,0,11,2,4,3
5,1,169,20,31,10,10,0,4,1
6,1,264,34,3,3,2,2,4,2
7,1,313,40,20,15,9,1,3,5
8,1,369,40,24,13,1,0,2,3
9,1,138,32,27,4,11,1,1,6
10,1,385,16,31,0,10,3,2,4
11,2,142,18,26,1,2,5,1,3
12,2,197,35,21,7,3,0,1,6
13,2,14,29,13,15,1,4,3,5
14,2,150,35,12,9,4,3,2,3
15,2,118,21,6,3,2,5,0,1
16,2,347,32,33,1,6,3,0,2
17,2,399,37,21,11,9,4,2,4
18,2,24,27,26,7,5,3,2,5
19,2,325,24,7,0,2,5,4,5
20,2,70,31,13,10,2,0,1,5
21,3,359,16,22,8,6,4,4,4
22,3,368,39,21,5,8,4,1,5
23,3,256,32,20,14,0,2,1,0
24,3,283,22,7,7,10,1,4,4
25,3,230,32,31,2,12,5,1,1
26,3,44,31,29,9,2,3,3,4
27,3,3,27,10,13,8,5,2,1
28,3,55,30,11,14,11,3,0,5
29,3,133,22,11,0,8,3,3,4
30,3,127,22,19,14,1,5,0,3
31,4,97,35,24,11,7,1,2,3
32,4,316,20,14,4,12,3,3,5
33,4,241,37,4,1,4,2,1,2
34,4,153,31,24,15,3,0,1,6
35,4,155,29,16,4,2,4,2,6
36,4,370,20,18,1,12,5,1,2
37,4,271,25,23,9,6,4,4,5
38,4,5,40,16,14,7,5,0,2
39,4,177,18,8,13,7,4,4,6
40,4,351,17,25,13,10,2,3,6
41,5,384,40,23,12,9,0,2,2
42,5,321,31,18,13,7,5,1,1
43,5,191,20,13,2,11,1,2,4
44,5,326,34,23,11,8,3,3,0
45,5,269,15,29,5,3,5,4,2
46,5,220,16,33,13,0,5,4,4
47,5,198,25,15,1,1,1,0,1
48,5,162,22,34,0,11,0,1,5
49,5,293,31,33,2,12,3,1,4
50,5,143,22,17,11,6,4,4,0
